,lod,A_J.39,C57BL_6J.39,129S1_SvImJ.39,NOD_ShiLtJ.39,NZO_HlLtJ.39,CAST_EiJ.39,PWK_PhJ.39,WSB_EiJ.39,pred_mean,pearson_corr,spearman_corr
ENSMUSG00000032301,32.1600494912013,0.070484092961232,0.0721800845560949,-0.149202645647172,0.0585309804514473,0.059889221493588,-0.138112631752978,0.170787467097401,-0.144556569159612,163.84295500000002,0.350240358677624,0.261904761904762
ENSMUSG00000059540,5.84126148014536,0.169655130149121,0.0426588599516569,-0.0198660130755917,0.0037106292819437,0.0460858239576156,-0.169093553915433,0.0152832762352864,-0.0884341525845969,3.04343625,-0.1967323676630323,-0.14285714285714288
ENSMUSG00000078942,37.5518343410043,0.197092058911471,0.262530714722971,0.462871688026315,-0.214506027667468,-0.223944400011209,0.221624779606992,-0.802347730534879,0.0966789169458053,0.025260898875,0.03984194841937621,0.04761904761904763
ENSMUSG00000043419,4.96839803832841,0.0155265516825933,-0.116199879080564,-0.0589017771974607,-0.079215274724791,0.169532314934857,0.0217417042430625,0.0113621588793267,0.0361542012629776,0.04008271875,0.5185089778814101,0.4285714285714286
ENSMUSG00000033578,30.1191252692079,0.270005235128352,-0.183042782101582,0.27368023182478,-0.228433772317328,0.223274859759211,-0.224126306320243,0.130781306147205,-0.262138772120395,0.01547576325,0.2880937289968134,0.2142857142857143
ENSMUSG00000041426,90.5131701954894,0.117992759217719,0.122733015007139,0.194106361396404,0.175035756234022,-0.300659047207677,-0.686787302100431,0.236181103830233,0.141397353622594,21.241987625,0.3563258785970214,0.07142857142857144
ENSMUSG00000024986,1.35082525665776,0.155639708822479,0.0404616107517075,0.164149583248404,-0.029568970010514,-0.097983629110848,-0.0840033356132874,0.101226503722934,-0.24992147181087,103.515716875,-0.01134021704391073,-0.2380952380952381
ENSMUSG00000034329,11.7942996755258,0.123952186947662,-0.181172316627022,0.151968761239877,-0.117218576478383,-0.207285129548479,-0.082185035667095,0.243652663828376,0.0682874463050709,0.0094781480625,0.23233137586033475,-0.023809523809523815
ENSMUSG00000074527,118.034928326717,-0.120980509951922,-0.281618676447977,-0.411264945538086,0.548841235332194,-0.330521129823765,0.415349119085846,1.79960305878996,-1.61940815144624,0.008149976125,-0.771887887313253,-0.7185757571479554
ENSMUSG00000086648,4.26681911370075,-0.0850727289508635,0.059383345497209,0.066690095639605,-0.0220363221824167,-0.0706283113906023,0.0358704249677855,0.0076469003000809,0.0081465961192019,0.024456221375,-0.12211370243930891,0.04761904761904763
ENSMUSG00000046109,0.543761238379318,0.0051972936959412,0.0007511792746264,-0.0067768484537316,0.0015577336976866,-0.0224067811527338,0.0124630966109454,0.0294714198013288,-0.0202570934740631,0.046563391999999995,-0.27255711033790314,-0.5714285714285715
ENSMUSG00000021716,29.3124421452085,-0.013918407973863,-0.204901667849166,-0.196628689154185,0.0665189542309736,0.154163852969651,0.0494033944749006,0.0671607582271978,0.0782018050744959,0.475663395,-0.0941818797237052,0.0
